time;bandwidth;loss_rate;delay;jitter
09:30:10;1610;10;1897.606;863.964
09:30:15;2253;0;422.113;436.842
09:30:20;2897;20;544.374;187.842
09:30:25;3540;10;486.242;264.484
09:30:30;3773;20;261.638;265.401
09:30:35;4007;0;1195.916;290.405
09:30:40;4240;0;1015.856;185.405
09:30:45;4490;0;342.392;353.317 
09:30:50;4740;10;658.879;368.582
09:30:55;4590;0;308.210;302.816
09:31:00;4440;0;560.541;366.658
09:31:05;4673;0;433.588;195.250
09:31:10;4907;0;335.084;195.187
09:31:15;5140;10;644.894;284.823
09:31:20;4695;0;304.651;86.244
09:31:25;4250;10;417.941;204.579
09:31:30;4685;0;270.541;172.532
09:31:35;5120;0;637.476;214.007
09:31:40;4488;10;328.278;237.875
09:31:45;3855;10;328.278;237.875
09:31:50;3223;10;1086.563;661.356
09:31:55;2590;0;1906.354;1269.940
09:32:00;2913;10;384.407;281.678
09:32:05;3237;0;1388.759;422.664
09:32:10;3560;0;840.595;359.971 
09:32:15;3615;0;371.770;412.228 
09:32:20;3670;0;277.460;145.553
09:32:25;3933;0;924.608;680.825 
09:32:30;4197;10;240.618;161.572
09:32:35;4460;20;517.385;132.472
09:32:40;3467;30;517.385;132.472
09:32:45;2473;10;467.006;315.735
09:32:50;1480;25;328.248;137.466
09:32:55;2355;40;1133.413;645.160
09:33:00;3230;10;624.676;439.430
09:33:05;4105;0;624.676;439.430
09:33:10;4980;30;561.020;293.622
09:33:15;5950;0;392.330;117.983
09:33:20;6030;10;448.028;416.424 
09:33:25;6110;0;405.389;212.359
09:33:30;6190;0;232.525;140.125
09:33:35;6300;0;387.455;179.423
09:33:40;6410;0;259.637;283.576
09:33:45;6520;20;498.830;190.410
09:33:50;6630;10;199.866;150.914
09:33:55;6740;10;327.072;283.385
09:34:00;6850;10;237.026;193.410
09:34:05;6960;10;237.026;193.410
09:34:10;5550;10;1051.476;827.496
09:34:15;4140;0;202.881;151.581
09:34:20;3753;0;1477.793;714.702
09:34:25;3365;0;1841.155;707.783
09:34:30;2978;0;298.466;207.048
09:34:35;2590;20;586.745;366.839
09:34:40;3333;15;426.976;361.193 
09:34:45;4077;10;426.976;361.193 
09:34:50;4820;0;685.427;390.623
09:34:55;4473;20;505.789;346.043
09:35:00;4473;10;449.645;390.299 
09:35:05;3780;0;759.132;218.063
09:35:10;3648;0;450.500;256.220
09:35:15;3515;0;405.822;219.839
09:35:20;3383;0;262.725;150.827
09:35:25;3250;10;301.481;61.538
09:35:30;3488;10;301.481;61.538
09:35:35;3727;10;288.252;290.754
09:35:40;3965;10;1377.199;745.972
09:35:45;4203;0;804.746;612.866 
09:35:50;4442;10;205.570;212.050
09:35:55;4680;10;1579.445;1084.671
09:36:00;4153;10;1007.146;315.514
09:36:05;3627;0;212.598;221.661
09:36:10;3100;0;260.055;69.937
09:36:15;2963;0;320.665;158.323
