time;bandwidth;loss_rate;delay;jitter;;;;;;;;
21:29:50;3180;0;1724.804;347.547;;;;;;;;
21:29:55;3360;0;437.390;313.760;;;;;;;;
21:30:00;3540;0;199.480;130.733;;;;;;;;
21:30:05;3720;0;474.253;195.101;;;;;;;;
21:30:10;3900;0;520.688;303.084;;;;;;;;
21:30:15;3637;0;289.734;246.731;;;;;;;;
21:30:20;3373;0;987.028;532.862;;;;;;;;
21:30:25;3110;0;1678.580;616.021;;;;;;;;
21:30:30;2882;0;342.081;138.801;;;;;;;;
21:30:35;2654;0;266.663;107.382;;;;;;;;
21:30:40;2426;0;362.500;219.551;;;;;;;;
21:30:45;2198;0;4810.585;1780.673;;;;;;;;
21:30:50;1970;0;266.663;107.382;;;;;;;;
21:30:55;1645;0;2583.844;1191.894;;;;;;;;
21:31:00;1320;10;404.307;280.964;;;;;;;;
21:31:05;2458;0;644.274;390.494;;;;;;;;
21:31:10;3595;0;2591.998;1294.360;;;;;;;;
21:31:15;4733;0;777.117;382.666;;;;;;;;
21:31:20;5870;30;4041.902;1809.206;;;;;;;;
21:31:25;7020;0;2241.810;912.930;;;;;;;;
21:31:30;8170;0;818.030;821.791;;;;;;;;
21:31:35;7078;0;503.942;354.979;;;;;;;;
21:31:40;5987;0;1255.846;494.685;;;;;;;;
21:31:45;4895;0;291.262;242.645;;;;;;;;
21:31:50;3803;10;332.027;58.321;;;;;;;;
21:31:55;2712;10;285.763;160.653;;;;;;;;
21:32:00;1620;10;499.932;358.599;;;;;;;;
21:32:05;1568;0;175.972;66.671;;;;;;;;
21:32:10;1517;0;503.942;354.979;;;;;;;;
21:32:15;1465;10;3822.201;509.961;;;;;;;;
21:32:20;1413;10;285.763;160.653;;;;;;;;
21:32:25;1362;10;499.932;358.599;;;;;;;;
21:32:30;1310;20;4436.254;906.152;;;;;;;;
21:32:35;1266;10;149.631;77.699;;;;;;;;
21:32:40;1222;0;260.187;168.596;;;;;;;;
21:32:45;1178;0;1833.306;1642.928;;;;;;;;
21:32:50;1133;20;5198.312;2435.556;;;;;;;;
21:32:55;1089;0;2357.611;1390.388;;;;;;;;
21:33:00;1045;10;524.090;175.618;;;;;;;;
21:33:05;1001;0;523.949;683.806;;;;;;;;
21:33:10;957;0;747.759;777.960;;;;;;;;
21:33:15;913;10;285.763;160.653;;;;;;;;
21:33:20;868;20;5198.312;2435.556;;;;;;;;
21:33:25;824;30;5552.883;1613.259;;;;;;;;
21:33:30;780;20;5198.312;2435.556;;;;;;;;
21:33:35;802;50;8915.189;2112.516;;;;;;;;
21:33:40;824;80;5066.718;617.103;;;;;;;;
21:33:45;846;20;5198.312;2435.556;;;;;;;;
21:33:50;868;20;5198.312;2435.556;;;;;;;;
21:33:55;889;40;5548.040;3721.073;;;;;;;;
21:34:00;911;50;2033.860;1773.152;;;;;;;;
21:34:05;933;10;524.090;175.618;;;;;;;;
21:34:10;955;0;3321.817;3052.299;;;;;;;;
21:34:15;977;80;2060.141;1380.352;;;;;;;;
21:34:20;999;0;239.058;157.903;;;;;;;;
21:34:25;1021;0;782.900;441.553;;;;;;;;
21:34:30;1043;0;1442.180;1413.210;;;;;;;;
21:34:35;1064;0;649.065;353.020;;;;;;;;
21:34:40;1086;0;2372.819;1243.127;;;;;;;;
21:34:45;1108;0;4375.617;2161.658;;;;;;;;
21:34:50;1130;0;1070.791;520.286;;;;;;;;
21:34:55;1075;0;1152.537;855.772;;;;;;;;
21:35:00;1021;0;1263.363;1034.464;;;;;;;;
21:35:05;966;0;129.340;8.268;;;;;;;;
21:35:10;911;70;294.588;332.224;;;;;;;;
21:35:15;857;40;5548.040;3721.073;;;;;;;;
21:35:20;802;30;2124.541;1135.917;;;;;;;;
21:35:25;747;0;1674.719;1301.170;;;;;;;;
21:35:30;693;0;340.316;174.088;;;;;;;;
21:35:35;638;50;1127.095;468.961;;;;;;;;
21:35:40;583;80;1368.277;957.533;;;;;;;;
21:35:45;529;40;2848.040;4721.073;;;;;;;;
21:35:50;474;40;1849.880;1342.632;;;;;;;;
21:35:55;419;30;2124.541;1135.917;;;;;;;;
